0x7036  הצוות סרב להצעה.
0xB46E  זהו יום המסחר האחרון.
0xB48C  זכור למכור בסוף היום
0xB4A9  את כל סחורתך,
0xB4CC  מכיון שהנקודות שתצבור
0xB4EA  תקבענה על פי סכום
0xB504  הכסף שיוותר בידך !
0xB55E  FךPH
0xB6AF  ק~םLLX 
0xB6BB  FכWt
0xB6C2  Fיץם
0xB6DD  ישראל
0xB70D  תורכיה
0xB737  FכWר
0xB75E  ישראל
0xB76F  FכW`
0xB78B  תורכיה
0xB79D  FכW2
0xB7B9  מצרים
0xB801  לא ניתן לנסוע
0xB817  בשעה כה מאוחרת
0xB85C  הנזק שנגרם לספינתך אינו
0xB87C  מאפשר לך להפליג.
0xB8AB  $VLL
0xB900   הבנק  סגור  היום
0xB969  שבוע המסחר הסתים,
0xB983    לסיום המשחק
0xB995  הקש  
0xBA0B  רציף התיקונים בנמל סגור
0xBA2B  היום - תאלץ להמתין
0xBA46  עד מחר
0xBAAE  אין באפשרותך לתקן את
0xBACB  הנזק שנגרם לספינתך-
0xBAE7  ה מ ש ח ק   ה ס ת י ם  ! !
0xBB4E  ~םpו
0xBBA8  mifne.scr
0xBBD6  credits.scr
0xBC07   נחושת 
0xBC1C   זיתים 
0xBC31   חיטה 
0xBC45  ראשון
0xBC58  שני  
0xBC6B  שלישי
0xBC7E  רביעי
0xBC91  חמישי
0xBCA4  שישי 
0xBCB7  שביעי
0xBCCE  mainscrn
0xBCF2  newday
0xBD14  help
0xBD34  crew
0xBD54  socher
0xBD76  expand
0xBD98  thieves
0xBDBB  wheatup
0xBDDE  wheatdn
0xBE01  olivesup
0xBE25  olivesdn
0xBE49  copperup
0xBE6D  copperdn
0xBE9B  stay
0xBEBB  repair
0xBEDD  deserted
0xBF01  damaged
0xBF24  night
0xBF45  overwght
0xBF69  guards
0xBF8B  pirates
0xBFAE  confront
0xBFD2  runaway
0xBFF5  offer
0xC016  change
0xC038  sinking
0xC05B  storm
0xC07C  sirton
0xC09E  strike
0xC0C0  arafel
0xC0E2  bank
0xC102  buyturk
0xC125  buyisr
0xC147  buyegpt
0xC16A  sellturk
0xC18E  sellisr
0xC1B1  sellegpt
0xC1F4  sell
0xC214  withrow
0xC237  deposit
0xC25A  message
0xC27D  pirates
0xC29B  ~םBZ
0xC2A6  line_6.lin
0xC2BF  ~םLa
0xC2D3  ~םLM
0xC376  FךWק
0xC3F3  intro.scr
0xC449  ישראל
0xC4DB  tcdsvuzjyhlfkonibxg;p.mera,
0xC4F7  ד 0987654321תשרקצץפףעסנןמםלכךיטחזוהדגבא&<AREM>P:GXBINOKFLHYJZUVSDCT
0xC55E  Fט{M
0xC576  FךPM
0xC5BB  וך.^
0xC5DF  FכIA
0xC5F2  וך.ק
0xC61D  FכPH
0xC664  FכJץ
0xC67F  FכPH
0xC6F6  winners.win
0xC747  חזכa
0xC75C  וזכG
0xC769  חזכPH
0xC7B3  חזכW
0xC7CA  וזכFV
0xC7E5  חזכP
0xC7FC  חזכG$
0xC80A  וזכPH
0xC845  חזכW
0xC85D  וזכE
0xC877  חזכP
0xC8A8  in_10.scr
0xC8CB  וזכF
0xC8F3  חזכP
0xC904  דזיA
0xC910  דזכ`
0xC925  EYIt
0xC94C  first_10.scr
0xC966  חזכP
0xC977  דזיA
0xC991  דזכC
0xC9C8  דזכB
0xC9E5  ;EYIt
0xCA0B  score
0xCA3E  ~םBj
0xCB23  האם אתה מעונין
0xCB3A  במשחק נוסף ? )כ/ל(
