keys,he
REPAIR_CAN_SAIL,ניתן להפליג ✓
REPAIR_CANT_SAIL,לא ניתן להפליג ✗
REPAIR_CLOSED,רציף התיקונים סגור להיום. שוב מחר!
VOYAGE_TITLE,לאן מפליגים?
VOYAGE_OPTION,%s — %d שעות, הגעה %02d:00
VOYAGE_TOO_LATE,מאוחר מדי לצאת
VOYAGE_NIGHT_WARN,⚠ הפלגה לילית
VOYAGE_STORM_AT,⚠ סערה ב%s
VOYAGE_GUARDS_TITLE,שכירת ספינות משמר
VOYAGE_GUARDS_PRICE,%s לספינת משמר
VOYAGE_GUARDS_HELP,ככל שתשכור יותר — יגדל סיכויך מול שודדי ים.
VOYAGE_GUARDS_TOTAL,סה"כ: %s
VOYAGE_SAIL,הפלג!
VOYAGE_WARN_NIGHT,ההפלגה תסתיים בחשכה. בלילה אורבים שרטונות. להפליג בכל זאת?
VOYAGE_WARN_OVERLOAD,הספינה עמוסה מעל לקיבולתה ועלולה לשקוע. להפליג בכל זאת?
VOYAGE_GO_ANYWAY,להפליג בכל זאת
VOYAGE_STAY,לחזור
VOYAGE_SAILING,מפליגים...
VOYAGE_ARRIVED_SAFE,הגעת בשלום!!
VOYAGE_EV_STORM_CARGO,הגלים הגבוהים שטפו מספינתך %d טון %s.
VOYAGE_EV_STORM_SHIP,עקב הסערה נגרם לספינתך נזק בשווי %s.
VOYAGE_EV_SHOAL,בלילה — עלית על שרטון! עקב תנאי הראות הגרועים נגרם נזק בשווי %s.
VOYAGE_EV_WORSE,הנסיעה בספינתך הניזוקה החמירה את הנזק ב-%s.
VOYAGE_EV_OVERLOAD,הספינה החלה לשקוע! נאלצת להשליך לים %d טון %s.
VOYAGE_EV_FOG,לא ניתן לעגון — ערפל כבד בנמל. הספינה שבה לנמל המוצא.
VOYAGE_EV_STRIKE,לא ניתן לעגון — שביתה בנמל. הספינה שבה לנמל המוצא.
VOYAGE_EV_WINDS,כתוצאה מרוחות חזקות וטעות בניווט הגעת ל%s במקום ל%s.
VOYAGE_EV_DESERTED,נתקלת בספינה נטושה! אספת ממנה %d טון %s.
PIRATES_TITLE,שודדי ים!
PIRATES_WHAT_DO,ספינת שודדים מתקרבת. מה תעשה?
PIRATES_FIGHT,להתקיף
PIRATES_FLEE,לברוח
PIRATES_COMPROMISE,להציע פשרה
PIRATES_FACTS,משמר: %d | מטען: %d/%d | נזק: %s
PIRATES_OFFER_TITLE,מה תציע לשודדים?
PIRATES_CASH_LOCKED,אין לך די מזומן להצעה כספית
PIRATES_WON_LOOT,ניצחת בקרב! על ספינת השודדים נמצא מטמון: %s!
PIRATES_WON_CAPTURE,ניצחת בקרב! לקחת את ספינת השודדים בשבי — הקיבולת גדלה ב-%d טון!
PIRATES_BATTLE_DAMAGE,במהלך הקרב נגרם לספינתך נזק בשווי %s.
PIRATES_LOST,הפסדת בקרב. השודדים גנבו %s וגרמו נזק בשווי %s.
PIRATES_FLED,הצלחת להימלט משודדי הים!
PIRATES_FLEE_HEAVY,ספינתך כבדה מדי ולא הצליחה לברוח.
PIRATES_FLEE_DAMAGED,לא הצלחת לברוח עקב הנזק שבספינתך.
PIRATES_FLEE_OUTRUN,ספינת הפיראטים המהירה הצליחה להשיג את ספינתך.
PIRATES_COMPROMISE_OK,השודדים קיבלו את הצעתך והניחו לך.
PIRATES_COMPROMISE_NO,השודדים דחו את הצעתך!
END_TITLE_DONE,השבוע הסתיים!
END_TITLE_STUCK,דרכך נחסמה...
END_SCORE,צברת %s
END_LAST_CARGO_WARN,נותרה על הספינה סחורה שלא נמכרה. לסיים בכל זאת?
HISCORES_TITLE,טבלת השיאים
HISCORES_EMPTY,היה הראשון שייכנס לטבלה!
HISCORES_ENTER_NAME,הישג חדש! מה שמך?
HISCORES_DEFAULT_NAME,אלמוני
NOTICE_TITLE,לוח המודעות
NOTICE_NONE,אין מודעות חדשות היום.
SETTINGS_TITLE,הגדרות
SETTINGS_FULLSCREEN,מסך מלא
SETTINGS_BIG_TEXT,טקסט גדול
SETTINGS_REDUCED_MOTION,הפחתת תנועה
SETTINGS_MUSIC,עוצמת מוזיקה
SETTINGS_SFX,עוצמת אפקטים
ERR_NOT_ENOUGH_CASH,אין מספיק מזומן
ERR_NOT_ENOUGH_CARGO,אין מספיק סחורה
ERR_OFFER_TOO_MUCH,הצעת יותר ממה שברשותך
ERR_GENERIC,הפעולה נכשלה
